key,en,ja,ko,zh-TW,zh-CN,es,pt,ru,fr,vi
story_complete_1_2,"Beth... Milia... Troy... They need you. Rest for now. When you're ready, seek out Beth's Remnant.",だが我は四人の内の一人に過ぎん。仲間たちはまだ苦しんでいる。ベス... ミリア... トロイ... お前を必要としている。,하지만 나는 넷 중 하나일 뿐이다. 내 동료들은 아직 고통받고 있다. 베스... 밀리아... 트로이... 네가 필요하다.,但我只是四人之一。我的同伴們仍在受苦。貝絲... 米莉亞... 特洛伊... 他們需要你。,贝丝... 米莉亚... 特洛伊... 他们需要你。现在休息吧。准备好后，去寻找贝丝的残余。,"Beth... Milia... Troy... Te necesitan. Descansa por ahora. Cuando estés listo, busca el Vestigio de Beth.","Beth... Milia... Troy... Eles precisam de você. Descanse por agora. Quando estiver pronto, procure o Vestígio de Beth.","Бет... Милия... Трой... Им нужна твоя помощь. Отдохни пока. Когда будешь готов, найди Останок Бет.","Beth... Milia... Troy... Ils ont besoin de toi. Repose-toi pour l'instant. Quand tu seras prêt, cherche le Vestige de Beth.","Beth... Milia... Troy... Họ cần ngươi. Nghỉ ngơi đi. Khi sẵn sàng, hãy tìm Tàn Dư của Beth."
story_complete_1_3,Chapter 1 Complete. Rex's power has been freed. Three heroes remain...,第1章完了。レックスの力が解放された。三人の英雄が残っている...,1장 완료. 렉스의 힘이 해방되었다. 세 영웅이 남았다...,第一章完成。雷克斯的力量已解放。還有三位英雄...,第一章完成。雷克斯的力量已被释放。还剩三位英雄...,Capítulo 1 Completado. El poder de Rex ha sido liberado. Quedan tres héroes...,Capítulo 1 Completo. O poder de Rex foi libertado. Três heróis restam...,Глава 1 пройдена. Сила Рекса освобождена. Осталось три героя...,Chapitre 1 Terminé. Le pouvoir de Rex a été libéré. Trois héros restent...,Chương 1 Hoàn Thành. Sức mạnh của Rex đã được giải phóng. Còn ba anh hùng...
story_complete_2_1,"Two down, two to go.",2体倒して、残り2体。,"둘 했고, 둘 남았어.",打倒兩個，還剩兩個。,两个倒下了，还剩两个。,"Dos caídos, quedan dos.","Dois caídos, restam dois.","Двое повержены, осталось двое.","Deux de tombés, il en reste deux.","Hai đã ngã, còn hai nữa."
story_complete_2_2,"Milia's next. She's... well, she's different from Rex and me.",次はミリア。彼女は... そうね、レックスや私とは違うわ。,"다음은 밀리아야. 그녀는... 글쎄, 렉스나 나와는 달라.",接下來是米莉亞。她... 嗯，她和雷克斯、我都不一樣。,下一个是米莉亚。她... 嗯，她和雷克斯与我都不一样。,"Milia es la siguiente. Ella es... bueno, diferente de Rex y de mí.","Milia é a próxima. Ela é... bem, diferente de Rex e de mim.","Следующая - Милия. Она... ну, отличается от Рекса и меня.","Milia est la suivante. Elle est... eh bien, différente de Rex et moi.",Tiếp theo là Milia. Cô ấy... khác với Rex và ta.
story_complete_2_3,Her Remnant won't play fair. Projectiles won't work the way you expect.,彼女のレムナントはフェアに戦わない。飛び道具が思った通りに効かないわよ。,그녀의 잔재는 공정하게 싸우지 않아. 투사체가 예상대로 작동하지 않을 거야.,她的殘餘不會公平戰鬥。投射物不會按你預期的方式運作。,她的残余不会公平战斗。弹丸不会像你期望的那样工作。,Su Vestigio no jugará limpio. Los proyectiles no funcionarán como esperas.,O Vestígio dela não vai jogar limpo. Projéteis não vão funcionar como você espera.,"Её Останок не будет играть честно. Снаряды не будут работать так, как ты ожидаешь.",Son Vestige ne jouera pas franc jeu. Les projectiles ne fonctionneront pas comme tu l'attends.,Tàn Dư của cô ấy không chơi công bằng. Đạn sẽ không hoạt động như ngươi nghĩ.
story_complete_2_4,"But I believe in you, {name}. Go get 'em.",でも私はあなたを信じてる、{name}。頑張って。,"하지만 난 널 믿어, {name}. 가서 해.",但我相信你，{name}。去吧。,但我相信你，{name}。去干掉它们。,"Pero creo en ti, {name}. ¡Ve a por ellos!","Mas eu acredito em você, {name}. Vai lá!","Но я верю в тебя, {name}. Вперёд!","Mais je crois en toi, {name}. Vas-y !","Nhưng ta tin ngươi, {name}. Tiến lên!"
story_complete_2_5,Chapter 2 Complete. Beth's power has been freed. Two heroes remain...,第2章完了。ベスの力が解放された。二人の英雄が残っている...,2장 완료. 베스의 힘이 해방되었다. 두 영웅이 남았다...,第二章完成。貝絲的力量已解放。還有兩位英雄...,第二章完成。贝丝的力量已被释放。还剩两位英雄...,Capítulo 2 Completado. El poder de Beth ha sido liberado. Quedan dos héroes...,Capítulo 2 Completo. O poder de Beth foi libertado. Dois heróis restam...,Глава 2 пройдена. Сила Бет освобождена. Осталось два героя...,Chapitre 2 Terminé. Le pouvoir de Beth a été libéré. Deux héros restent...,Chương 2 Hoàn Thành. Sức mạnh của Beth đã được giải phóng. Còn hai anh hùng...
story_complete_3_1,Only Troy remains.,残るはトロイだけです。,트로이만 남았어요.,只剩特洛伊了。,只剩特洛伊了。,Solo queda Troy.,Só resta Troy.,Остался только Трой.,Il ne reste que Troy.,Chỉ còn Troy.
story_complete_3_2,He was always the strongest of us. His light could pierce anything.,彼は私たちの中で最も強かった。その光は何でも貫けました。,그는 우리 중 가장 강했어요. 그의 빛은 무엇이든 꿰뚫을 수 있었죠.,他是我們中最強的。他的光可以穿透任何事物。,他一直是我们中最强的。他的光可以穿透一切。,Siempre fue el más fuerte de nosotros. Su luz podía atravesar cualquier cosa.,Ele sempre foi o mais forte de nós. Sua luz podia atravessar qualquer coisa.,Он всегда был сильнейшим из нас. Его свет мог пронзить что угодно.,Il a toujours été le plus fort d'entre nous. Sa lumière pouvait tout transpercer.,Anh ấy luôn là người mạnh nhất trong chúng ta. Ánh sáng của anh ấy có thể xuyên thủng mọi thứ.
story_complete_3_3,"His Remnant will be relentless. It will fire constantly, wearing you down.",彼のレムナントは容赦ありません。絶え間なく撃ち続け、あなたを消耗させます。,"그의 잔재는 가차없을 거예요. 끊임없이 쏘며, 당신을 지치게 할 거예요.",他的殘餘將會無情。它會不斷開火，消磨你。,他的残余会无情地攻击。它会不断射击，消耗你。,"Su Vestigio será implacable. Disparará constantemente, desgastándote.","O Vestígio dele será implacável. Vai atirar constantemente, te desgastando.","Его Останок будет безжалостен. Он будет стрелять постоянно, изматывая тебя.","Son Vestige sera implacable. Il tirera constamment, t'épuisant.","Tàn Dư của anh ấy sẽ không ngừng nghỉ. Nó sẽ bắn liên tục, làm ngươi kiệt sức."
story_complete_3_4,You will need everything you've learned. And everything you've gathered.,学んだこと全てが必要になります。集めたもの全てが。,배운 모든 것이 필요할 거예요. 모은 모든 것이.,你需要你學到的一切。你收集的一切。,你需要学到的一切。以及你收集的一切。,Necesitarás todo lo que has aprendido. Y todo lo que has reunido.,Você vai precisar de tudo que aprendeu. E tudo que reuniu.,"Тебе понадобится всё, чему ты научился. И всё, что ты собрал.",Tu auras besoin de tout ce que tu as appris. Et de tout ce que tu as rassemblé.,Ngươi sẽ cần mọi thứ đã học. Và mọi thứ đã thu thập.
story_complete_3_5,"Go, {name}. End this.",行ってください、{name}。これを終わらせて。,"가세요, {name}. 이것을 끝내세요.",去吧，{name}。結束這一切。,去吧，{name}。结束这一切。,"Ve, {name}. Termina con esto.","Vá, {name}. Termine com isso.","Иди, {name}. Покончи с этим.","Va, {name}. Mets fin à tout cela.","Đi đi, {name}. Kết thúc điều này."
story_complete_3_6,Chapter 3 Complete. Milia's power has been freed. One hero remains...,第3章完了。ミリアの力が解放された。一人の英雄が残っている...,3장 완료. 밀리아의 힘이 해방되었다. 한 영웅이 남았다...,第三章完成。米莉亞的力量已解放。還有一位英雄...,第三章完成。米莉亚的力量已被释放。还剩一位英雄...,Capítulo 3 Completado. El poder de Milia ha sido liberado. Queda un héroe...,Capítulo 3 Completo. O poder de Milia foi libertado. Um herói resta...,Глава 3 пройдена. Сила Милии освобождена. Остался один герой...,Chapitre 3 Terminé. Le pouvoir de Milia a été libéré. Un héros reste...,Chương 3 Hoàn Thành. Sức mạnh của Milia đã được giải phóng. Còn một anh hùng...
story_complete_4_1,"The four lights - orange, cyan, white, and magenta - gather before you.",四つの光 - オレンジ、シアン、白、マゼンタ - がお前の前に集まる。,"네 빛 - 오렌지, 시안, 흰색, 마젠타 - 가 네 앞에 모인다.",四道光芒 - 橘色、青色、白色、洋紅色 - 聚集在你面前。,四道光——橙色、青色、白色和品红色——聚集在你面前。,"Las cuatro luces - naranja, cian, blanca y magenta - se reúnen ante ti.","As quatro luzes - laranja, ciano, branca e magenta - se reúnem diante de você.","Четыре огня - оранжевый, голубой, белый и пурпурный - собираются перед тобой.","Les quatre lumières - orange, cyan, blanche et magenta - se rassemblent devant toi.","Bốn ánh sáng - cam, lam, trắng và hồng - tụ họp trước mặt ngươi."
story_complete_4_10,We will reclaim our world.,俺たちの世界を取り戻す。,우리 세계를 되찾을 것이다.,我們將奪回我們的世界。,我们将夺回我们的世界。,Reclamaremos nuestro mundo.,Vamos retomar nosso mundo.,Мы вернём наш мир.,Nous reprendrons notre monde.,Chúng ta sẽ giành lại thế giới.
story_complete_4_11,"Thank you, {name}.",ありがとう、{name}。,"고마워, {name}.",謝謝你，{name}。,谢谢你，{name}。,"Gracias, {name}.","Obrigado, {name}.","Спасибо тебе, {name}.","Merci, {name}.","Cảm ơn ngươi, {name}."
story_complete_4_12,Chapter 4 Complete. All heroes have been freed. The battle for The Sentient begins...,第4章完了。全ての英雄が解放された。「感応者」を巡る戦いが始まる...,4장 완료. 모든 영웅이 해방되었다. '감응자'를 위한 전투가 시작된다...,第四章完成。所有英雄都已解放。爭奪「感知者」的戰鬥開始了...,第四章完成。所有英雄都已解放。为「感应者」的战斗开始了...,Capítulo 4 Completado. Todos los héroes han sido liberados. La batalla por el Sintiente comienza...,Capítulo 4 Completo. Todos os heróis foram libertados. A batalha pelo Senciente começa...,Глава 4 пройдена. Все герои освобождены. Битва за Сенсиента начинается...,Chapitre 4 Terminé. Tous les héros ont été libérés. La bataille pour le Sensient commence...,Chương 4 Hoàn Thành. Tất cả anh hùng đã được giải phóng. Trận chiến cho Cảm Thức bắt đầu...
story_complete_4_2,"You did it, {name}.",やったな、{name}。,"해냈구나, {name}.",你做到了，{name}。,你做到了，{name}。,"Lo lograste, {name}.","Você conseguiu, {name}.","Ты сделал это, {name}.","Tu as réussi, {name}.","Ngươi đã làm được, {name}."
story_complete_4_3,Told you we picked the right one!,言ったでしょ、正しい人を選んだって！,"내가 말했잖아, 우린 맞는 사람을 골랐다고!",我就說嘛，我們選對人了！,我就说我们选对人了！,¡Te dije que elegimos bien!,Eu disse que escolhemos certo!,"Я же говорила, что мы выбрали правильно!",Je t'avais dit qu'on avait choisi le bon !,Ta đã nói chúng ta chọn đúng người mà!
story_complete_4_4,Thank you... truly.,ありがとう... 本当に。,감사해요... 진심으로.,謝謝你... 真的。,谢谢你... 真的。,Gracias... de verdad.,Obrigado... de verdade.,Спасибо... искренне.,Merci... vraiment.,Cảm ơn ngươi... thật lòng.
story_complete_4_5,The demons still hold The Sentient. Our world is not yet saved.,魔族はまだ「感応者」を持っている。俺たちの世界はまだ救われていない。,마족은 아직 '감응자'를 갖고 있다. 우리 세계는 아직 구원받지 못했다.,惡魔仍然持有「感知者」。我們的世界還沒有得救。,恶魔仍然控制着「感应者」。我们的世界还没有被拯救。,Los demonios aún tienen al Sintiente. Nuestro mundo aún no está salvado.,Os demônios ainda têm o Senciente. Nosso mundo ainda não foi salvo.,Демоны всё ещё держат Сенсиента. Наш мир ещё не спасён.,Les démons tiennent toujours le Sensient. Notre monde n'est pas encore sauvé.,Bọn quỷ vẫn đang giữ Cảm Thức. Thế giới của chúng ta chưa được cứu.
story_complete_4_6,But now... now we can fight back.,だが今なら... 反撃できる。,하지만 이제... 반격할 수 있다.,但現在... 我們可以反擊了。,但现在... 现在我们可以反击了。,Pero ahora... ahora podemos contraatacar.,Mas agora... agora podemos contra-atacar.,Но теперь... теперь мы можем дать отпор.,Mais maintenant... maintenant nous pouvons riposter.,Nhưng bây giờ... bây giờ chúng ta có thể phản công.
story_complete_4_7,"When you're ready, we'll face the demons together.",準備ができたら、一緒に魔族に立ち向かおう。,"준비되면, 함께 마족에 맞서자.",當你準備好了，我們將一起面對惡魔。,当你准备好了，我们将一起面对恶魔。,"Cuando estés listo, enfrentaremos a los demonios juntos.","Quando estiver pronto, enfrentaremos os demônios juntos.","Когда будешь готов, мы вместе встретим демонов.","Quand tu seras prêt, nous affronterons les démons ensemble.","Khi ngươi sẵn sàng, chúng ta sẽ cùng đối mặt bọn quỷ."
story_complete_4_8,Four Demon Lords stand between us and The Sentient.,「感応者」への道に四体の魔王が立ちはだかる。,'감응자'까지 네 마왕이 가로막고 있다.,四個魔王擋在我們和「感知者」之間。,四个恶魔领主横在我们和「感应者」之间。,Cuatro Señores Demonio se interponen entre nosotros y el Sintiente.,Quatro Senhores Demônio estão entre nós e o Senciente.,Четыре Лорда Демонов стоят между нами и Сенсиентом.,Quatre Seigneurs Démons se dressent entre nous et le Sensient.,Bốn Chúa Quỷ đứng giữa chúng ta và Cảm Thức.
story_complete_4_9,"But with you commanding the sprites, and us by your side...",でもあなたがスプライトを操り、私たちがそばにいれば...,"하지만 당신이 스프라이트를 지휘하고, 우리가 곁에 있으면...",但有你指揮精靈，有我們在你身邊...,但有你指挥精灵们，有我们在你身边...,"Pero contigo comandando los sprites, y nosotros a tu lado...","Mas com você comandando os sprites, e nós ao seu lado...","Но с тобой, командующим спрайтами, и нами рядом...","Mais avec toi commandant les sprites, et nous à tes côtés...","Nhưng với ngươi chỉ huy các sprite, và chúng ta ở bên cạnh..."
story_mid_appear_1_1,"As the last demon falls, a cold blue light emerges from the shadows.",最後の魔族が倒れると、冷たい青い光が影から現れる。,"마지막 마족이 쓰러지자, 차가운 파란 빛이 그림자에서 나타난다.",最後的惡魔倒下，一道冰冷的藍光從陰影中浮現。,当最后的恶魔倒下时，一道冰冷的蓝光从阴影中浮现。,"Cuando el último demonio cae, una luz azul fría emerge de las sombras.","Quando o último demônio cai, uma luz azul fria emerge das sombras.","Когда последний демон падает, холодный синий свет появляется из теней.","Quand le dernier démon tombe, une lumière bleue froide émerge des ombres.","Khi tên quỷ cuối cùng ngã xuống, một ánh sáng xanh lạnh lẽo hiện ra từ bóng tối."
story_mid_appear_1_2,The Frost sprite... it was drawn to your battle.,フロストスプライト... お前の戦いに引き寄せられたのだ。,프로스트 스프라이트... 네 전투에 이끌려 왔다.,冰霜精靈... 被你的戰鬥吸引而來。,冰霜精灵... 它被你的战斗吸引了。,El espíritu de Hielo... fue atraído por tu batalla.,O espírito de Gelo... foi atraído pela sua batalha.,Дух Льда... его привлекла твоя битва.,L'esprit de Givre... il a été attiré par ton combat.,Linh hồn Băng Giá... nó bị thu hút bởi trận chiến của ngươi.
story_mid_appear_1_3,"Claim it, {name}. Its power will slow your enemies.",手に入れろ、{name}。その力で敵を遅らせることができる。,"손에 넣어라, {name}. 그 힘으로 적을 늦출 수 있다.",獲取它，{name}。它的力量可以減緩你的敵人。,夺取它，{name}。它的力量会减缓你的敌人。,"Reclámalo, {name}. Su poder ralentizará a tus enemigos.","Reivindique-o, {name}. Seu poder vai desacelerar seus inimigos.","Забери его, {name}. Его сила замедлит твоих врагов.","Réclame-le, {name}. Son pouvoir ralentira tes ennemis.","Nhận lấy nó, {name}. Sức mạnh của nó sẽ làm chậm kẻ thù."
story_mid_appear_2_1,Not bad! You're getting the hang of this.,悪くないね！コツを掴んできたわ。,나쁘지 않아! 감을 잡아가고 있네.,不錯！你越來越上手了。,不错！你开始上手了。,¡Nada mal! Le estás agarrando el truco.,Nada mal! Você está pegando o jeito.,Неплохо! Ты осваиваешься.,Pas mal ! Tu commences à comprendre.,Không tồi! Ngươi đang quen dần.
story_mid_appear_2_2,An orange glow pulses with violent energy - the Berserker sprite.,オレンジ色の光が激しいエネルギーで脈動する - バーサーカースプライト。,오렌지색 빛이 격렬한 에너지로 맥동한다 - 버서커 스프라이트.,橘色的光芒以狂暴的能量跳動 - 狂戰士精靈。,一道橙色光芒带着狂暴的能量脉动——狂战士精灵。,Un brillo naranja pulsa con energía violenta - el espíritu Berserker.,Um brilho laranja pulsa com energia violenta - o espírito Berserker.,Оранжевое сияние пульсирует яростной энергией - дух Берсерка.,Une lueur orange pulse d'énergie violente - l'esprit Berserker.,Ánh sáng cam rung động với năng lượng dữ dội - linh hồn Cuồng Chiến.
story_mid_appear_2_3,"Oh, the Berserker. Wild one, that sprite.",あら、バーサーカーね。あれは荒っぽいスプライトよ。,"오, 버서커. 거친 녀석이야.",哦，狂戰士。是個狂野的精靈。,哦，狂战士。那是个狂野的精灵。,"Oh, el Berserker. Espíritu salvaje, ese.","Ah, o Berserker. Espírito selvagem, esse.","О, Берсерк. Дикий дух, этот.","Oh, le Berserker. Un esprit sauvage, celui-là.","Ồ, Cuồng Chiến. Một linh hồn hoang dã."
story_mid_appear_2_4,It can spin and deflect attacks. Against my Remnant... you'll need that.,回転して攻撃を弾くことができる。私のレムナント相手には... 必要になるわ。,회전해서 공격을 튕겨낼 수 있어. 내 잔재 상대로는... 필요할 거야.,它能旋轉並偏轉攻擊。對付我的殘餘... 你會需要它的。,它可以旋转偏转攻击。对付我的残余... 你会需要它。,Puede girar y desviar ataques. Contra mi Vestigio... lo necesitarás.,Pode girar e desviar ataques. Contra meu Vestígio... você vai precisar.,Он может вращаться и отражать атаки. Против моего Останка... он тебе понадобится.,Il peut tournoyer et dévier les attaques. Contre mon Vestige... tu en auras besoin.,Nó có thể xoay và đẩy lùi đòn tấn công. Đối phó Tàn Dư của ta... ngươi sẽ cần nó.
story_mid_appear_3_1,You fight well. The others chose wisely in you.,よく戦っています。他の者たちがあなたを選んだのは正しかった。,잘 싸우고 있어요. 다른 이들이 당신을 선택한 건 옳았어요.,你戰鬥得很好。其他人選擇你是正確的。,你战斗得很好。其他人选择你是明智的。,Luchas bien. Los demás eligieron sabiamente contigo.,Você luta bem. Os outros escolheram sabiamente em você.,Ты хорошо сражаешься. Остальные мудро выбрали тебя.,Tu te bats bien. Les autres ont fait un choix sage avec toi.,Ngươi chiến đấu giỏi. Những người khác đã chọn đúng.
story_mid_appear_3_2,A purple light blooms from the ice - the Mage sprite.,紫の光が氷から咲く - メイジスプライト。,보라색 빛이 얼음에서 피어난다 - 메이지 스프라이트.,紫色的光從冰中綻放 - 法師精靈。,一道紫色的光从冰雪中绽放——法师精灵。,Una luz púrpura florece del hielo - el espíritu Mago.,Uma luz roxa floresce do gelo - o espírito Mago.,Фиолетовый свет расцветает изо льда - дух Мага.,Une lumière violette fleurit de la glace - l'esprit Mage.,Ánh sáng tím nở ra từ băng - linh hồn Pháp Sư.
story_mid_appear_3_3,"The Mage. Its power is area magic - it strikes a location, not a target.",メイジ。その力は範囲魔法 - 標的ではなく、場所を攻撃します。,메이지. 그 힘은 범위 마법 - 대상이 아닌 위치를 공격해요.,法師。它的力量是區域魔法 - 攻擊的是位置，而非目標。,法师。它的力量是范围魔法——它打击一个位置，而不是目标。,"El Mago. Su poder es magia de área - golpea una ubicación, no un objetivo.","O Mago. Seu poder é magia de área - atinge um local, não um alvo.","Маг. Его сила - площадная магия - она бьёт по месту, не по цели.","Le Mage. Son pouvoir est la magie de zone - il frappe un endroit, pas une cible.","Pháp Sư. Sức mạnh của nó là phép vùng - nó đánh vào vị trí, không phải mục tiêu."
story_mid_appear_3_4,My Remnant cannot nullify what doesn't come 'at' it. The Mage's explosions will bypass its defenses.,私のレムナントは「向かってくる」ものでなければ無効化できません。メイジの爆発は防御を突破します。,제 잔재는 '다가오는' 게 아니면 무효화할 수 없어요. 메이지의 폭발은 방어를 뚫어요.,我的殘餘無法無效化不是「朝它來的」東西。法師的爆炸可以突破它的防禦。,我的残余无法使不是'朝向'它的东西失效。法师的爆炸会绕过它的防御。,Mi Vestigio no puede anular lo que no viene 'hacia' él. Las explosiones del Mago evadirán sus defensas.,Meu Vestígio não pode anular o que não vem 'em direção' a ele. As explosões do Mago vão ultrapassar suas defesas.,"Мой Останок не может аннулировать то, что не летит 'в' него. Взрывы Мага обойдут его защиту.",Mon Vestige ne peut pas annuler ce qui ne vient pas 'vers' lui. Les explosions du Mage contourneront ses défenses.,Tàn Dư của ta không thể vô hiệu hóa thứ không bay 'về phía' nó. Vụ nổ của Pháp Sư sẽ vượt qua phòng thủ.
story_mid_appear_4_1,Impressive. You've made it this far.,大したものだ。ここまで来たか。,대단하군. 여기까지 왔다.,令人印象深刻。你走到這裡了。,令人印象深刻。你走到了这里。,Impresionante. Has llegado tan lejos.,Impressionante. Você chegou tão longe.,Впечатляет. Ты зашёл так далеко.,Impressionnant. Tu es arrivé si loin.,Ấn tượng. Ngươi đã đi xa đến thế.
story_mid_appear_4_2,A dark purple light pulses ominously - the Vampire sprite.,暗い紫の光が不吉に脈動する - ヴァンパイアスプライト。,어두운 보라색 빛이 불길하게 맥동한다 - 뱀파이어 스프라이트.,暗紫色的光不祥地跳動 - 吸血鬼精靈。,一道深紫色的光不祥地脉动——吸血鬼精灵。,Una luz púrpura oscura pulsa ominosamente - el espíritu Vampiro.,Uma luz roxa escura pulsa ominosamente - o espírito Vampiro.,Тёмно-фиолетовый свет зловеще пульсирует - дух Вампира.,Une lumière violet foncé pulse de façon sinistre - l'esprit Vampire.,Ánh sáng tím đậm rung động đáng ngại - linh hồn Ma Cà Rồng.
story_mid_appear_4_3,The Vampire. It drains life from enemies to sustain itself.,ヴァンパイア。敵から命を吸い取って自身を維持する。,뱀파이어. 적에게서 생명을 빨아 자신을 유지한다.,吸血鬼。它從敵人身上吸取生命來維持自己。,吸血鬼。它从敌人那里吸取生命来维持自己。,El Vampiro. Drena vida de los enemigos para sostenerse.,O Vampiro. Drena vida dos inimigos para se sustentar.,"Вампир. Он высасывает жизнь из врагов, чтобы поддерживать себя.",Le Vampire. Il draine la vie des ennemis pour se maintenir.,Ma Cà Rồng. Nó hút máu từ kẻ thù để duy trì bản thân.
story_mid_appear_4_4,"Against my Remnant, sustain is everything. The Cleric heals. The Vampire heals.",俺のレムナント相手には持久力が全てだ。クレリックが癒す。ヴァンパイアも癒す。,내 잔재 상대로 지속력이 전부다. 클레릭이 치유한다. 뱀파이어도 치유한다.,對抗我的殘餘，續航就是一切。牧師治療。吸血鬼也治療。,对付我的残余，持续性是一切。牧师治疗。吸血鬼治疗。,"Contra mi Vestigio, el sustento lo es todo. El Clérigo cura. El Vampiro cura.","Contra meu Vestígio, sustentação é tudo. O Clérigo cura. O Vampiro cura.",Против моего Останка выживаемость - это всё. Жрец лечит. Вампир лечит.,"Contre mon Vestige, le soutien est tout. Le Clerc soigne. Le Vampire soigne.","Đối phó Tàn Dư của ta, duy trì là tất cả. Thầy Tu hồi máu. Ma Cà Rồng hồi máu."
story_mid_collect_1_1,Good. You're learning fast.,良い。飲み込みが早いな。,좋다. 빨리 배우는군.,很好。你學得很快。,好。你学得很快。,Bien. Aprendes rápido.,Bom. Você aprende rápido.,Хорошо. Ты быстро учишься.,Bien. Tu apprends vite.,Tốt. Ngươi học rất nhanh.
story_mid_collect_1_2,Now... I must tell you something.,さて... 一つ伝えねばならないことがある。,"자, 이제... 말해야 할 것이 있다.",現在... 我必須告訴你一些事。,现在... 我必须告诉你一些事。,Ahora... debo decirte algo.,Agora... preciso te contar algo.,Теперь... я должен тебе кое-что сказать.,Maintenant... je dois te dire quelque chose.,Bây giờ... ta phải nói cho ngươi biết điều này.
story_mid_collect_1_3,What you've been fighting are merely minions. The true challenge lies ahead.,お前が戦ってきたのは単なる手下だ。本当の試練はこの先にある。,네가 싸워온 것들은 그저 하수인일 뿐이다. 진정한 시련은 앞에 있다.,你一直在對抗的只是小嘍囉。真正的挑戰在前方。,你一直在战斗的只是小兵。真正的挑战在前方。,Lo que has estado combatiendo son solo secuaces. El verdadero desafío está adelante.,O que você está combatendo são apenas lacaios. O verdadeiro desafio está à frente.,"То, с чем ты сражался - лишь приспешники. Настоящее испытание впереди.",Ce contre quoi tu te bats ne sont que des sbires. Le vrai défi est devant.,Những gì ngươi đang chiến đấu chỉ là đám tay sai. Thử thách thực sự nằm ở phía trước.
story_mid_collect_1_4,"When the demons captured us, they sealed away our powers.",魔族が我々を捕らえた時、我々の力を封印した。,"마족이 우리를 잡았을 때, 우리의 힘을 봉인했다.",當惡魔俘獲我們時，他們封印了我們的力量。,当恶魔抓住我们时，他们封印了我们的力量。,"Cuando los demonios nos capturaron, sellaron nuestros poderes.","Quando os demônios nos capturaram, selaram nossos poderes.","Когда демоны схватили нас, они запечатали наши силы.","Quand les démons nous ont capturés, ils ont scellé nos pouvoirs.","Khi bọn quỷ bắt chúng ta, chúng đã phong ấn sức mạnh của chúng ta."
story_mid_collect_1_5,"Those powers have taken form - twisted reflections of who we once were. To free me, you must defeat my Remnant.",その力は形を成した - 我々の歪んだ反映として。我を解放するには、我のレムナントを倒さねばならない。,"그 힘들이 형체를 갖추었다 - 우리의 왜곡된 반영으로. 나를 해방시키려면, 내 잔재를 쓰러뜨려야 한다.",那些力量有了形體 - 成為我們扭曲的倒影。要解放我，你必須擊敗我的殘餘。,那些力量已经成形——我们曾经模样的扭曲倒影。要解放我，你必须击败我的残余。,"Esos poderes han tomado forma - reflejos distorsionados de quienes fuimos. Para liberarme, debes derrotar mi Vestigio.","Esses poderes tomaram forma - reflexos distorcidos de quem éramos. Para me libertar, você deve derrotar meu Vestígio.","Эти силы обрели форму - искажённые отражения того, кем мы были. Чтобы освободить меня, ты должен победить мой Останок.","Ces pouvoirs ont pris forme - des reflets déformés de ce que nous étions. Pour me libérer, tu dois vaincre mon Vestige.","Những sức mạnh đó đã thành hình - phản chiếu méo mó của con người chúng ta từng là. Để giải phóng ta, ngươi phải đánh bại Tàn Dư của ta."
story_mid_collect_1_6,The ground trembles. An orange glow builds in the distance.,地が震える。オレンジ色の輝きが遠くで膨らむ。,땅이 흔들린다. 멀리서 오렌지빛이 커진다.,大地震動。遠處橘色的光芒愈發強烈。,大地颤抖。远处积聚着橙色的光芒。,El suelo tiembla. Un brillo naranja crece en la distancia.,O chão treme. Um brilho laranja cresce na distância.,Земля дрожит. Вдали нарастает оранжевое сияние.,Le sol tremble. Une lueur orange grandit au loin.,Mặt đất rung chuyển. Ánh sáng cam bùng lên từ xa.
story_mid_collect_1_7,"It comes. My power, corrupted and unchained.",来る。我の力が、堕落し、解き放たれて。,"온다. 내 힘이, 타락하고 해방되어.",它來了。我的力量，腐化且失控。,它来了。我的力量，被腐化且失控。,"Viene. Mi poder, corrompido y desatado.","Ele vem. Meu poder, corrompido e descontrolado.","Он идёт. Моя сила, развращённая и неконтролируемая.","Il arrive. Mon pouvoir, corrompu et déchaîné.","Nó đến. Sức mạnh của ta, bị tha hóa và mất kiểm soát."
story_mid_collect_1_8,"Stay at range. Use the Frost to slow it. You can do this, {name}!",距離を取れ。フロストで遅らせろ。お前ならできる、{name}！,"거리를 유지해라. 프로스트로 늦춰라. 할 수 있어, {name}!",保持距離。用冰霜減緩它。你能做到的，{name}！,保持距离。用冰霜减缓它。你可以做到，{name}！,"Mantén distancia. Usa el Hielo para ralentizarlo. ¡Puedes hacerlo, {name}!","Mantenha distância. Use o Gelo para desacelerá-lo. Você consegue, {name}!","Держись на расстоянии. Используй Лёд, чтобы замедлить его. Ты справишься, {name}!","Garde tes distances. Utilise le Givre pour le ralentir. Tu peux le faire, {name} !","Giữ khoảng cách. Dùng Băng Giá để làm chậm nó. Ngươi làm được, {name}!"
